gia,dienTich,giaMoiM2,soPhongNgu,soWC,phuong,quan
6.99,98.4,71.04,2,2,Dịch Vọng,Cầu Giấy
7.0,105.0,66.67,3,2,Yên Hòa,Cầu Giấy
8.0,146.0,54.8,3,3,Trung Hòa,Cầu Giấy
7.8,112.0,69.64,3,2,Trung Hòa,Cầu Giấy
7.93,122.0,65.0,3,2,Trung Hòa,Cầu Giấy
8.15,129.0,63.18,3,2,Yên Hòa,Cầu Giấy
6.3,80.0,78.75,3,2,Yên Hòa,Cầu Giấy
8.5,130.0,65.39,3,2,Trung Hòa,Cầu Giấy
7.05,103.4,68.18,3,2,Dịch Vọng Hậu,Cầu Giấy
7.28,130.0,56.0,3,2,Trung Hòa,Cầu Giấy
7.0,98.0,71.43,2,2,Yên Hòa,Cầu Giấy
6.8,99.0,68.69,3,2,Dịch Vọng,Cầu Giấy
4.9,70.0,70.0,2,1,Dịch Vọng,Cầu Giấy
7.0,108.5,64.52,3,2,Trung Hòa,Cầu Giấy
8.8,128.0,68.75,3,2,Dịch Vọng,Cầu Giấy
7.2,114.0,63.16,3,2,Yên Hòa,Cầu Giấy
6.2,93.7,66.17,3,2,Yên Hòa,Cầu Giấy
5.9,93.7,62.97,3,2,Yên Hòa,Cầu Giấy
7.9,109.6,72.08,3,2,Yên Hòa,Cầu Giấy
5.0,78.8,63.45,2,2,Dịch Vọng,Cầu Giấy
9.1,130.0,70.0,3,2,Trung Hòa,Cầu Giấy
5.45,85.6,63.67,2,2,Dịch Vọng,Cầu Giấy
5.8,98.0,59.18,2,2,Dịch Vọng,Cầu Giấy
5.5,79.5,69.18,2,2,Yên Hòa,Cầu Giấy
8.6,95.0,90.53,3,2,Yên Hòa,Cầu Giấy
6.8,109.6,62.04,3,2,Yên Hòa,Cầu Giấy
6.98,98.3,71.01,2,2,Yên Hòa,Cầu Giấy
8.52,118.4,72.0,4,2,Trung Hòa,Cầu Giấy
6.3,94.0,67.02,3,2,Trung Hòa,Cầu Giấy
6.15,94.4,65.15,3,2,Yên Hòa,Cầu Giấy
7.58,135.4,55.98,4,2,Trung Hòa,Cầu Giấy
8.0,136.0,58.82,4,3,Trung Hòa,Cầu Giấy
8.0,139.44,57.37,3,2,Trung Hòa,Cầu Giấy
5.6,85.0,65.88,2,2,Yên Hòa,Cầu Giấy
6.65,70.0,95.0,2,2,Trung Hòa,Cầu Giấy
8.55,131.0,65.27,3,2,Trung Hòa,Cầu Giấy
7.35,129.9,56.58,3,2,Yên Hòa,Cầu Giấy
6.5,94.4,68.86,3,2,Yên Hòa,Cầu Giấy
7.5,119.0,63.02,3,2,Trung Hòa,Cầu Giấy
3.5,57.4,60.98,2,2,Trung Hòa,Cầu Giấy
7.5,130.0,57.69,2,2,Trung Hòa,Cầu Giấy
6.8,110.0,61.82,3,2,Trung Hòa,Cầu Giấy
6.25,101.0,61.88,3,2,Yên Hòa,Cầu Giấy
7.0,110.0,63.64,3,2,Yên Hòa,Cầu Giấy
5.85,93.7,62.43,3,2,Yên Hòa,Cầu Giấy
6.8,110.0,61.82,3,2,Dịch Vọng Hậu,Cầu Giấy
8.5,123.2,68.99,3,2,Dịch Vọng,Cầu Giấy
6.5,70.0,92.86,2,2,Trung Hòa,Cầu Giấy
5.95,96.0,62.0,3,2,Trung Hòa,Cầu Giấy
7.0,112.0,62.5,3,2,Trung Hòa,Cầu Giấy
10.03,173.0,58.0,4,3,Trung Hòa,Cầu Giấy
9.5,169.0,56.21,3,2,Trung Hòa,Cầu Giấy
5.5,117.0,47.01,3,2,Trung Hòa,Cầu Giấy
6.85,90.0,76.11,3,2,Trung Hòa,Cầu Giấy
7.0,108.0,64.82,3,2,Dịch Vọng Hậu,Cầu Giấy
9.5,130.7,72.69,3,2,Quan Hoa,Cầu Giấy
7.8,100.0,78.0,3,2,Nghĩa Đô,Cầu Giấy
3.7,59.0,62.71,2,1,Mai Dịch,Cầu Giấy
8.36,152.0,55.0,3,3,Trung Hòa,Cầu Giấy
7.0,77.5,90.32,2,2,Dịch Vọng Hậu,Cầu Giấy
7.7,98.0,78.57,3,2,Nghĩa Đô,Cầu Giấy
10.7,99.0,108.08,3,2,Trung Hòa,Cầu Giấy
15.62,168.0,93.0,3,2,Trung Hòa,Cầu Giấy
11.5,114.0,100.88,3,2,Trung Hòa,Cầu Giấy
8.5,152.0,55.92,3,3,Trung Hòa,Cầu Giấy
10.3,155.5,66.24,3,2,Dịch Vọng,Cầu Giấy
13.8,194.0,71.13,4,3,Dịch Vọng,Cầu Giấy
10.3,142.0,72.54,2,2,Dịch Vọng,Cầu Giấy
16.34,172.0,95.0,3,2,Trung Hòa,Cầu Giấy
6.8,85.0,80.0,3,2,Quan Hoa,Cầu Giấy
5.7,69.0,82.61,2,2,Yên Hòa,Cầu Giấy
4.1,70.0,58.57,2,1,Yên Hòa,Cầu Giấy
7.2,100.0,72.0,3,2,Yên Hòa,Cầu Giấy
8.66,152.0,57.0,3,3,Trung Hòa,Cầu Giấy
12.7,142.0,89.44,3,2,Mai Dịch,Cầu Giấy
7.0,77.5,90.32,2,2,Dịch Vọng Hậu,Cầu Giấy
7.0,100.0,70.0,3,2,Mai Dịch,Cầu Giấy
17.5,193.0,90.67,4,3,Dịch Vọng Hậu,Cầu Giấy
13.78,145.0,95.03,3,2,Dịch Vọng Hậu,Cầu Giấy
7.6,95.5,79.58,2,2,Dịch Vọng,Cầu Giấy
14.0,154.0,90.91,5,3,Dịch Vọng,Cầu Giấy
5.0,70.0,71.43,2,2,Yên Hòa,Cầu Giấy
8.0,113.5,70.48,3,2,Trung Hòa,Cầu Giấy
13.8,194.0,71.13,4,3,Dịch Vọng,Cầu Giấy
10.1,108.0,93.52,3,2,Dịch Vọng Hậu,Cầu Giấy
14.78,134.4,110.0,2,2,Trung Hòa,Cầu Giấy
4.3,66.0,65.15,3,2,Trung Hòa,Cầu Giấy
8.9,130.0,68.46,3,2,Trung Hòa,Cầu Giấy
6.6,95.0,69.47,3,2,Yên Hòa,Cầu Giấy
10.0,120.0,83.33,3,2,Dịch Vọng,Cầu Giấy
15.0,195.0,76.92,4,3,Dịch Vọng,Cầu Giấy
6.65,70.0,95.0,2,2,Trung Hòa,Cầu Giấy
3.58,55.0,65.0,2,1,Trung Hòa,Cầu Giấy
6.5,108.0,60.18,3,2,Dịch Vọng Hậu,Cầu Giấy
6.42,107.0,60.0,3,2,Dịch Vọng Hậu,Cầu Giấy
5.49,87.0,63.1,2,2,Trung Hòa,Cầu Giấy
4.5,63.0,71.43,2,2,Trung Hòa,Cầu Giấy
3.9,60.0,65.0,2,2,Trung Hòa,Cầu Giấy
10.0,168.0,59.52,3,3,Trung Hòa,Cầu Giấy
6.0,86.4,69.44,2,2,Trung Hòa,Cầu Giấy
8.88,155.0,57.29,3,3,Trung Hòa,Cầu Giấy
4.06,67.0,60.6,2,1,Trung Hòa,Cầu Giấy
2.8,45.0,62.22,1,1,Trung Hòa,Cầu Giấy
5.58,80.0,69.75,3,2,Trung Hòa,Cầu Giấy
5.58,80.0,69.75,3,2,Trung Hòa,Cầu Giấy
6.25,70.0,89.29,2,2,Trung Hòa,Cầu Giấy
6.5,74.0,87.84,2,2,Trung Hòa,Cầu Giấy
6.9,79.0,87.34,2,2,Nghĩa Đô,Cầu Giấy
7.2,72.0,100.0,2,2,Trung Hòa,Cầu Giấy
11.0,116.8,94.18,3,2,Mai Dịch,Cầu Giấy
5.0,72.0,69.44,2,2,Yên Hòa,Cầu Giấy
7.5,105.0,71.43,3,2,Yên Hòa,Cầu Giấy
8.0,100.0,80.0,3,2,Mai Dịch,Cầu Giấy
10.0,120.0,83.33,3,2,Mai Dịch,Cầu Giấy
10.0,125.1,79.94,2,2,Trung Hòa,Cầu Giấy
8.0,126.0,63.49,3,2,Dịch Vọng,Cầu Giấy
5.0,86.0,58.14,3,2,Quan Hoa,Cầu Giấy
5.5,80.0,68.75,3,2,Yên Hòa,Cầu Giấy
5.3,77.0,68.83,2,2,Trung Hòa,Cầu Giấy
3.5,60.0,58.33,2,1,Trung Hòa,Cầu Giấy
9.5,135.0,70.37,3,2,Yên Hòa,Cầu Giấy
5.5,76.0,72.37,2,2,Yên Hòa,Cầu Giấy
3.8,60.0,63.33,2,1,Trung Hòa,Cầu Giấy
9.0,130.0,69.23,3,2,Quan Hoa,Cầu Giấy
9.5,124.0,76.61,4,2,Dịch Vọng Hậu,Cầu Giấy
6.2,88.0,70.46,2,2,Nghĩa Đô,Cầu Giấy
7.0,111.9,62.56,3,2,Trung Hòa,Cầu Giấy
7.9,96.0,82.29,3,2,Yên Hòa,Cầu Giấy
6.7,108.0,62.04,3,2,Dịch Vọng Hậu,Cầu Giấy
3.5,60.0,58.33,2,2,Trung Hòa,Cầu Giấy
3.8,70.0,54.29,2,1,Nghĩa Tân,Cầu Giấy
9.0,95.0,94.74,3,2,Yên Hòa,Cầu Giấy
5.7,66.0,86.36,2,2,Quan Hoa,Cầu Giấy
9.0,126.0,71.43,3,2,Dịch Vọng,Cầu Giấy
10.0,133.0,75.19,3,2,Yên Hòa,Cầu Giấy
9.0,116.0,77.59,3,2,Dịch Vọng,Cầu Giấy
10.5,152.0,69.08,3,3,Trung Hòa,Cầu Giấy
9.05,130.0,69.61,4,2,Dịch Vọng,Cầu Giấy
4.0,65.0,61.46,2,2,Trung Hòa,Cầu Giấy
4.8,68.0,70.59,2,2,Trung Hòa,Cầu Giấy
7.5,94.0,79.79,3,2,Yên Hòa,Cầu Giấy
4.6,70.0,65.71,2,2,Nghĩa Tân,Cầu Giấy
6.6,100.0,66.0,3,2,Dịch Vọng,Cầu Giấy
5.0,80.0,62.5,3,2,Trung Hòa,Cầu Giấy
15.79,168.0,94.0,3,2,Trung Hòa,Cầu Giấy
10.0,127.0,78.74,3,2,Trung Hòa,Cầu Giấy
8.7,152.5,57.05,3,3,Trung Hòa,Cầu Giấy
10.0,120.0,83.33,3,2,Nghĩa Đô,Cầu Giấy
10.0,125.4,79.74,3,2,Dịch Vọng,Cầu Giấy
17.94,152.0,118.0,4,2,Trung Hòa,Cầu Giấy
2.9,75.0,38.67,2,2,Nghĩa Tân,Cầu Giấy
4.0,64.0,62.5,2,1,Trung Hòa,Cầu Giấy
14.9,181.0,82.32,3,3,Trung Hòa,Cầu Giấy
6.8,110.0,61.82,3,2,Trung Hòa,Cầu Giấy
7.69,115.0,66.83,3,2,Trung Hòa,Cầu Giấy
8.0,110.0,72.73,3,2,Yên Hòa,Cầu Giấy
7.0,100.0,70.0,3,2,Yên Hòa,Cầu Giấy
8.43,140.5,60.0,3,2,Dịch Vọng Hậu,Cầu Giấy
8.39,152.5,55.0,3,3,Trung Hòa,Cầu Giấy
14.5,128.0,113.28,3,2,Dịch Vọng Hậu,Cầu Giấy
8.5,148.0,57.43,3,3,Trung Hòa,Cầu Giấy
7.4,120.0,61.67,3,2,Trung Hòa,Cầu Giấy
6.4,85.0,75.29,3,2,Quan Hoa,Cầu Giấy
11.6,130.0,89.23,3,2,Yên Hòa,Cầu Giấy
9.0,116.0,77.59,3,2,Dịch Vọng,Cầu Giấy
6.5,70.0,92.86,2,2,Trung Hòa,Cầu Giấy
5.0,75.0,66.67,2,1,Trung Hòa,Cầu Giấy
6.5,86.0,75.58,3,2,Quan Hoa,Cầu Giấy
8.3,123.4,67.26,3,2,Dịch Vọng,Cầu Giấy
4.7,55.0,85.46,1,1,Nghĩa Đô,Cầu Giấy
6.8,107.0,63.55,2,2,Nghĩa Đô,Cầu Giấy
4.0,60.0,66.67,2,2,Trung Hòa,Cầu Giấy
9.5,130.7,72.69,3,2,Quan Hoa,Cầu Giấy
5.4,65.0,83.08,2,1,Yên Hòa,Cầu Giấy
8.9,137.0,64.96,3,2,Trung Hòa,Cầu Giấy
6.8,99.0,68.69,3,2,Yên Hòa,Cầu Giấy
9.4,107.0,87.85,3,2,Dịch Vọng Hậu,Cầu Giấy
7.5,130.0,57.69,3,2,Trung Hòa,Cầu Giấy
10.5,169.0,62.13,4,3,Trung Hòa,Cầu Giấy
5.3,66.0,80.3,2,2,Quan Hoa,Cầu Giấy
5.8,110.0,52.73,3,2,Trung Hòa,Cầu Giấy
1.98,52.0,38.08,2,2,Nghĩa Đô,Cầu Giấy
11.0,107.0,102.8,2,2,Nghĩa Đô,Cầu Giấy
7.2,86.5,83.24,3,2,Dịch Vọng Hậu,Cầu Giấy
5.6,80.0,70.0,2,2,Yên Hòa,Cầu Giấy
9.7,155.0,62.58,4,3,Dịch Vọng,Cầu Giấy
9.5,120.0,79.17,3,2,Dịch Vọng,Cầu Giấy
5.9,90.0,65.56,2,2,Dịch Vọng Hậu,Cầu Giấy
6.5,85.0,76.47,3,2,Quan Hoa,Cầu Giấy
8.3,152.0,54.6,3,3,Trung Hòa,Cầu Giấy
10.5,152.0,69.08,3,3,Trung Hòa,Cầu Giấy
7.0,75.0,93.33,2,2,Nghĩa Đô,Cầu Giấy
4.0,70.0,57.14,2,2,Mai Dịch,Cầu Giấy
9.0,144.5,62.28,4,3,Dịch Vọng,Cầu Giấy
13.7,133.0,103.01,3,2,Dịch Vọng Hậu,Cầu Giấy
7.0,118.0,59.32,3,2,Trung Hòa,Cầu Giấy
4.0,71.0,56.34,2,2,Mai Dịch,Cầu Giấy
9.5,152.0,62.5,3,2,Trung Hòa,Cầu Giấy
3.5,58.0,60.34,2,1,Yên Hòa,Cầu Giấy
3.8,65.0,58.46,2,1,Trung Hòa,Cầu Giấy
5.4,77.0,70.13,2,2,Quan Hoa,Cầu Giấy
6.2,74.0,83.78,2,2,Dịch Vọng Hậu,Cầu Giấy
7.5,92.0,81.52,3,2,Dịch Vọng Hậu,Cầu Giấy
7.0,70.0,100.0,2,2,Trung Hòa,Cầu Giấy
13.0,145.0,89.66,3,2,Dịch Vọng Hậu,Cầu Giấy
4.0,66.0,60.61,3,2,Trung Hòa,Cầu Giấy
8.0,95.0,84.21,3,2,Dịch Vọng Hậu,Cầu Giấy
7.22,85.0,85.0,3,2,Quan Hoa,Cầu Giấy
13.7,132.0,103.79,3,2,Mai Dịch,Cầu Giấy
8.0,120.0,66.67,3,2,Dịch Vọng,Cầu Giấy
9.9,155.0,63.87,4,3,Dịch Vọng,Cầu Giấy
18.0,201.0,89.55,4,3,Dịch Vọng Hậu,Cầu Giấy
3.55,85.0,41.76,3,2,Mai Dịch,Cầu Giấy
9.0,143.0,62.94,3,2,Trung Hòa,Cầu Giấy
13.6,170.0,80.0,3,2,Dịch Vọng,Cầu Giấy
3.0,44.0,68.18,1,1,Yên Hòa,Cầu Giấy
7.6,86.0,88.37,3,2,Dịch Vọng Hậu,Cầu Giấy
8.8,100.0,88.0,3,2,Trung Hòa,Cầu Giấy
10.8,110.0,98.18,3,2,Dịch Vọng Hậu,Cầu Giấy
3.8,70.0,54.29,2,1,Nghĩa Tân,Cầu Giấy
7.8,118.0,66.1,3,2,Trung Hòa,Cầu Giấy
5.5,72.0,76.39,2,2,Yên Hòa,Cầu Giấy
4.05,70.0,57.86,2,2,Mai Dịch,Cầu Giấy
10.0,138.0,72.46,4,3,Trung Hòa,Cầu Giấy
8.28,138.0,60.0,3,2,Dịch Vọng Hậu,Cầu Giấy
8.39,152.5,55.0,3,2,Trung Hòa,Cầu Giấy
3.9,60.0,65.0,2,2,Yên Hòa,Cầu Giấy
19.9,292.0,68.15,4,3,Yên Hòa,Cầu Giấy
7.0,113.0,61.95,3,2,Trung Hòa,Cầu Giấy
6.0,122.0,49.18,3,2,Trung Hòa,Cầu Giấy
9.0,134.0,67.16,3,2,Trung Hòa,Cầu Giấy
9.0,153.0,58.82,4,3,Trung Hòa,Cầu Giấy
6.5,109.0,59.63,3,2,Trung Hòa,Cầu Giấy
13.0,170.0,76.47,3,2,Dịch Vọng,Cầu Giấy
9.5,104.0,91.35,3,2,Nghĩa Đô,Cầu Giấy
12.0,162.0,74.07,3,3,Trung Hòa,Cầu Giấy
8.0,110.0,72.73,3,2,Trung Hòa,Cầu Giấy
7.1,94.0,75.53,3,2,Trung Hòa,Cầu Giấy
5.95,68.0,87.5,2,2,Trung Hòa,Cầu Giấy
8.2,102.0,80.39,3,2,Yên Hòa,Cầu Giấy
3.65,52.7,69.26,2,1,Yên Hòa,Cầu Giấy
5.35,65.0,82.31,2,2,Quan Hoa,Cầu Giấy
7.0,96.0,72.92,3,2,Trung Hòa,Cầu Giấy
8.0,110.0,72.73,3,2,Dịch Vọng Hậu,Cầu Giấy
6.8,82.0,82.93,2,2,Nghĩa Đô,Cầu Giấy
4.8,55.0,87.27,1,1,Nghĩa Đô,Cầu Giấy
5.5,82.2,66.91,2,2,Trung Hòa,Cầu Giấy
6.6,100.0,66.0,3,2,Trung Hòa,Cầu Giấy
10.95,161.0,68.0,3,3,Trung Hòa,Cầu Giấy
8.0,102.0,78.43,3,2,Yên Hòa,Cầu Giấy
4.7,60.0,78.33,1,1,Yên Hòa,Cầu Giấy
7.28,85.3,85.35,3,2,Quan Hoa,Cầu Giấy
8.9,100.0,89.0,2,2,Nghĩa Đô,Cầu Giấy
5.5,68.0,80.88,2,2,Yên Hòa,Cầu Giấy
4.4,81.0,54.32,2,2,Yên Hòa,Cầu Giấy
4.8,62.0,77.42,2,2,Yên Hòa,Cầu Giấy
6.8,112.0,60.71,3,2,Dịch Vọng,Cầu Giấy
3.15,70.0,45.0,2,1,Mai Dịch,Cầu Giấy
6.98,97.0,71.96,3,2,Yên Hòa,Cầu Giấy
11.7,135.0,86.67,3,2,Dịch Vọng Hậu,Cầu Giấy
9.0,110.0,81.82,3,2,Dịch Vọng Hậu,Cầu Giấy
5.6,90.0,62.22,2,2,Dịch Vọng Hậu,Cầu Giấy
6.5,92.0,70.65,3,2,Quan Hoa,Cầu Giấy
4.35,62.0,70.16,2,1,Trung Hòa,Cầu Giấy
8.0,94.5,84.66,3,2,Nghĩa Đô,Cầu Giấy
8.3,100.8,82.34,2,2,Dịch Vọng,Cầu Giấy
6.2,70.1,88.44,2,2,Yên Hòa,Cầu Giấy
5.0,65.0,76.92,2,2,Yên Hòa,Cầu Giấy
4.8,72.0,66.67,2,2,Trung Hòa,Cầu Giấy
6.9,100.0,69.0,2,2,Dịch Vọng,Cầu Giấy
7.9,127.0,62.2,3,2,Dịch Vọng,Cầu Giấy
5.58,80.0,69.75,3,2,Trung Hòa,Cầu Giấy
8.5,145.0,58.62,3,3,Trung Hòa,Cầu Giấy
3.63,44.0,82.5,1,1,Yên Hòa,Cầu Giấy
6.7,70.0,95.71,2,3,Trung Hòa,Cầu Giấy
5.6,88.0,63.64,2,2,Dịch Vọng Hậu,Cầu Giấy
8.0,141.0,56.74,3,2,Dịch Vọng Hậu,Cầu Giấy
6.5,72.0,90.28,2,2,Trung Hòa,Cầu Giấy
7.0,90.0,77.78,2,2,Trung Hòa,Cầu Giấy
7.5,117.0,64.1,3,2,Trung Hòa,Cầu Giấy
6.3,67.0,94.03,2,2,Trung Hòa,Cầu Giấy
11.3,133.0,84.96,3,2,Yên Hòa,Cầu Giấy
8.6,96.0,89.58,3,2,Yên Hòa,Cầu Giấy
5.7,90.0,63.33,2,2,Dịch Vọng Hậu,Cầu Giấy
8.5,146.6,57.98,3,2,Dịch Vọng Hậu,Cầu Giấy
6.33,76.4,82.83,2,2,Dịch Vọng Hậu,Cầu Giấy
8.35,95.0,87.9,3,2,Dịch Vọng Hậu,Cầu Giấy
8.8,96.0,91.67,3,2,Yên Hòa,Cầu Giấy
7.0,87.6,79.91,3,2,Yên Hòa,Cầu Giấy
6.6,94.6,69.77,3,2,Yên Hòa,Cầu Giấy
4.24,65.5,64.73,2,1,Yên Hòa,Cầu Giấy
6.87,77.5,88.64,2,2,Mai Dịch,Cầu Giấy
6.73,108.0,62.27,3,2,Dịch Vọng Hậu,Cầu Giấy
8.4,99.0,84.85,3,2,Mai Dịch,Cầu Giấy
9.58,126.0,76.03,3,2,Dịch Vọng,Cầu Giấy
17.0,180.0,94.44,4,4,Quan Hoa,Cầu Giấy
6.57,85.0,77.29,3,2,Quan Hoa,Cầu Giấy
6.5,95.5,68.06,2,2,Dịch Vọng,Cầu Giấy
8.3,120.9,68.65,3,2,Dịch Vọng,Cầu Giấy
7.0,85.0,82.35,3,2,Quan Hoa,Cầu Giấy
8.5,101.0,84.16,3,2,Trung Hòa,Cầu Giấy
13.37,191.0,70.0,3,2,Dịch Vọng Hậu,Cầu Giấy
7.3,85.3,85.58,3,2,Quan Hoa,Cầu Giấy
4.95,71.4,69.33,2,2,Dịch Vọng,Cầu Giấy
6.5,100.0,65.0,3,2,Yên Hòa,Cầu Giấy
7.0,100.0,70.0,3,2,Yên Hòa,Cầu Giấy
7.4,90.0,82.22,2,2,Nghĩa Đô,Cầu Giấy
7.98,113.0,70.62,3,2,Trung Hòa,Cầu Giấy
2.9,44.0,66.0,1,1,Trung Hòa,Cầu Giấy
7.4,74.4,99.46,2,2,Nghĩa Đô,Cầu Giấy
7.0,117.0,59.83,3,2,Trung Hòa,Cầu Giấy
5.5,80.0,68.75,2,2,Dịch Vọng Hậu,Cầu Giấy
5.0,68.0,73.53,2,2,Trung Hòa,Cầu Giấy
3.63,44.0,82.5,1,1,Yên Hòa,Cầu Giấy
7.4,94.0,78.72,2,2,Trung Hòa,Cầu Giấy
7.02,117.0,60.0,3,2,Trung Hòa,Cầu Giấy
7.5,95.0,78.95,3,2,Yên Hòa,Cầu Giấy
8.5,100.0,85.0,3,2,Mai Dịch,Cầu Giấy
8.0,83.0,96.39,3,2,Trung Hòa,Cầu Giấy
9.2,110.0,83.64,3,2,Dịch Vọng Hậu,Cầu Giấy
9.2,100.0,92.0,3,2,Mai Dịch,Cầu Giấy
5.65,50.0,113.0,1,1,Trung Hòa,Cầu Giấy
5.58,80.0,69.75,3,2,Quan Hoa,Cầu Giấy
6.4,90.0,71.11,3,2,Quan Hoa,Cầu Giấy
5.56,80.0,69.5,2,2,Yên Hòa,Cầu Giấy
10.5,143.0,73.43,3,2,Trung Hòa,Cầu Giấy
8.5,140.5,60.5,3,2,Dịch Vọng Hậu,Cầu Giấy
5.57,80.0,69.62,3,2,Trung Hòa,Cầu Giấy
4.48,73.0,61.37,2,1,Dịch Vọng,Cầu Giấy
9.5,110.0,86.36,3,2,Dịch Vọng Hậu,Cầu Giấy
5.9,68.0,86.76,2,2,Trung Hòa,Cầu Giấy
1.9,55.0,34.54,2,2,Nghĩa Đô,Cầu Giấy
6.0,75.0,80.0,2,2,Dịch Vọng,Cầu Giấy
11.7,130.0,90.0,3,2,Yên Hòa,Cầu Giấy
9.68,110.0,88.0,3,2,Yên Hòa,Cầu Giấy
9.68,110.0,88.0,3,2,Yên Hòa,Cầu Giấy
11.0,159.0,69.18,3,3,Trung Hòa,Cầu Giấy
6.1,80.4,75.87,2,2,Dịch Vọng,Cầu Giấy
8.6,86.0,100.0,2,2,Dịch Vọng Hậu,Cầu Giấy
10.8,120.0,90.0,3,2,Dịch Vọng,Cầu Giấy
3.9,60.0,65.0,2,1,Yên Hòa,Cầu Giấy
2.25,55.0,40.91,2,1,Mai Dịch,Cầu Giấy
7.85,88.0,89.2,3,2,Nghĩa Đô,Cầu Giấy
11.5,117.0,98.29,3,2,Dịch Vọng Hậu,Cầu Giấy
4.8,55.0,87.27,1,1,Nghĩa Đô,Cầu Giấy
8.0,95.0,84.21,3,2,Nghĩa Đô,Cầu Giấy
3.65,65.0,56.15,2,1,Trung Hòa,Cầu Giấy
10.0,154.0,64.94,3,2,Dịch Vọng,Cầu Giấy
7.0,88.6,79.01,3,2,Nghĩa Tân,Cầu Giấy
7.0,81.0,86.42,2,2,Dịch Vọng,Cầu Giấy
9.3,125.0,74.4,3,2,Dịch Vọng,Cầu Giấy
3.5,43.0,81.4,2,2,Yên Hòa,Cầu Giấy
3.63,44.0,82.5,1,1,Trung Hòa,Cầu Giấy
2.25,55.0,40.91,2,1,Mai Dịch,Cầu Giấy
4.05,65.0,62.31,2,1,Trung Hòa,Cầu Giấy
4.18,64.0,65.31,3,2,Trung Hòa,Cầu Giấy
4.3,64.0,67.19,3,2,Trung Hòa,Cầu Giấy
4.7,66.0,71.21,2,2,Yên Hòa,Cầu Giấy
9.8,107.0,91.59,3,2,Dịch Vọng,Cầu Giấy
8.6,162.0,53.09,3,3,Trung Hòa,Cầu Giấy
8.1,120.0,67.5,4,2,Yên Hòa,Cầu Giấy
9.9,125.0,79.2,3,2,Dịch Vọng,Cầu Giấy
7.2,85.0,84.71,3,2,Quan Hoa,Cầu Giấy
7.78,130.0,59.82,3,2,Quan Hoa,Cầu Giấy
15.5,172.0,90.12,3,2,Trung Hòa,Cầu Giấy
7.0,78.0,89.74,2,2,Nghĩa Đô,Cầu Giấy
4.7,55.0,85.46,1,1,Nghĩa Đô,Cầu Giấy
7.35,126.0,58.33,3,2,Trung Hòa,Cầu Giấy
7.1,85.0,83.53,3,2,Trung Hòa,Cầu Giấy
8.9,109.0,81.65,3,2,Dịch Vọng Hậu,Cầu Giấy
8.0,108.0,74.07,3,2,Mai Dịch,Cầu Giấy
3.4,44.0,77.27,1,1,Yên Hòa,Cầu Giấy
8.3,152.0,54.6,3,3,Trung Hòa,Cầu Giấy
5.88,80.0,73.5,2,2,Dịch Vọng,Cầu Giấy
8.6,86.0,100.0,3,2,Dịch Vọng Hậu,Cầu Giấy
8.0,115.0,69.56,3,2,Yên Hòa,Cầu Giấy
4.9,54.5,89.91,1,1,Nghĩa Đô,Cầu Giấy
7.7,88.5,87.01,3,2,Nghĩa Đô,Cầu Giấy
16.0,160.0,100.0,3,2,Trung Hòa,Cầu Giấy
11.0,160.0,68.75,3,3,Trung Hòa,Cầu Giấy
8.9,144.0,61.81,3,3,Dịch Vọng,Cầu Giấy
